<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.BTC-USD,1,20230301,012500,23204.3600000,23209.6500000,23185.3500000,23194.9500000,7
GDAX.BTC-USD,1,20230301,012600,23193.8400000,23205.9600000,23187.7000000,23202.9100000,4
GDAX.BTC-USD,1,20230301,012700,23201.8500000,23201.8500000,23191.0900000,23193.4600000,5
GDAX.BTC-USD,1,20230301,012800,23193.4600000,23205.4000000,23193.4600000,23204.0000000,2
GDAX.BTC-USD,1,20230301,012900,23203.5500000,23216.5500000,23198.7200000,23199.1400000,7
GDAX.BTC-USD,1,20230301,013000,23198.8800000,23214.2000000,23198.7200000,23200.6000000,12
GDAX.BTC-USD,1,20230301,013100,23200.6000000,23220.1000000,23197.0600000,23220.0100000,3
GDAX.BTC-USD,1,20230301,013200,23220.0000000,23220.0000000,23207.1900000,23217.5500000,3
GDAX.BTC-USD,1,20230301,013300,23217.5500000,23217.5500000,23202.1000000,23205.7600000,3
GDAX.BTC-USD,1,20230301,013400,23205.7200000,23210.3200000,23195.2200000,23201.7000000,6
GDAX.BTC-USD,1,20230301,013500,23201.7100000,23221.7700000,23201.1500000,23221.5700000,5
GDAX.BTC-USD,1,20230301,013600,23221.5700000,23223.4500000,23203.5000000,23203.5000000,4
GDAX.BTC-USD,1,20230301,013700,23203.5000000,23214.0600000,23202.9600000,23203.3600000,6
GDAX.BTC-USD,1,20230301,013800,23203.3600000,23214.6300000,23203.3500000,23207.4200000,5
GDAX.BTC-USD,1,20230301,013900,23207.4100000,23215.8700000,23205.8800000,23215.0500000,5
GDAX.BTC-USD,1,20230301,014000,23214.5500000,23214.5600000,23200.7700000,23206.9900000,3
GDAX.BTC-USD,1,20230301,014100,23205.0100000,23205.0100000,23197.2900000,23197.3000000,1
GDAX.BTC-USD,1,20230301,014200,23197.1800000,23197.4200000,23181.9600000,23181.9600000,2
GDAX.BTC-USD,1,20230301,014300,23181.9700000,23186.1600000,23175.5400000,23184.6500000,5
GDAX.BTC-USD,1,20230301,014400,23184.6400000,23209.1500000,23184.6400000,23208.7200000,4
GDAX.BTC-USD,1,20230301,014500,23208.7800000,23227.1800000,23205.0800000,23226.8200000,10
GDAX.BTC-USD,1,20230301,014600,23226.8200000,23229.0100000,23212.1000000,23222.3800000,6
GDAX.BTC-USD,1,20230301,014700,23222.2800000,23230.6100000,23220.8800000,23220.8900000,2
GDAX.BTC-USD,1,20230301,014800,23220.8900000,23225.5700000,23219.0100000,23221.0100000,5
GDAX.BTC-USD,1,20230301,014900,23221.0200000,23221.7700000,23198.8200000,23198.8200000,3
GDAX.BTC-USD,1,20230301,015000,23198.8300000,23204.1600000,23195.0700000,23203.1500000,2
GDAX.BTC-USD,1,20230301,015100,23203.1400000,23203.2400000,23189.5500000,23189.7200000,5
GDAX.BTC-USD,1,20230301,015200,23190.2600000,23191.9100000,23164.3800000,23170.0100000,12
GDAX.BTC-USD,1,20230301,015300,23170.5100000,23171.8900000,23142.0200000,23151.9300000,9
GDAX.BTC-USD,1,20230301,015400,23151.2300000,23162.1200000,23143.6900000,23145.7000000,6
GDAX.BTC-USD,1,20230301,015500,23147.8200000,23150.9000000,23126.8100000,23149.8600000,15
GDAX.BTC-USD,1,20230301,015600,23150.2100000,23152.6700000,23141.5700000,23142.0200000,5
GDAX.BTC-USD,1,20230301,015700,23142.0200000,23151.6300000,23139.3800000,23151.6300000,8
GDAX.BTC-USD,1,20230301,015800,23151.6300000,23175.2500000,23145.4800000,23145.4800000,6
GDAX.BTC-USD,1,20230301,015900,23145.0300000,23166.2600000,23141.0100000,23155.3400000,6
GDAX.BTC-USD,1,20230301,020000,23155.3400000,23174.4300000,23155.3300000,23164.5300000,20
GDAX.BTC-USD,1,20230301,020100,23164.6000000,23164.6000000,23147.0000000,23149.0000000,5
GDAX.BTC-USD,1,20230301,020200,23147.0000000,23155.0400000,23141.4500000,23146.9700000,1
GDAX.BTC-USD,1,20230301,020300,23146.7300000,23155.2700000,23125.3900000,23147.1700000,17
GDAX.BTC-USD,1,20230301,020400,23148.4800000,23160.0000000,23146.9800000,23156.6400000,8
GDAX.BTC-USD,1,20230301,020500,23156.0500000,23158.2000000,23144.9300000,23148.4500000,7
GDAX.BTC-USD,1,20230301,020600,23150.8300000,23152.0700000,23133.6900000,23142.2900000,18
GDAX.BTC-USD,1,20230301,020700,23142.0800000,23157.0500000,23139.3400000,23151.4900000,3
GDAX.BTC-USD,1,20230301,020800,23152.5600000,23171.4000000,23147.2000000,23170.0100000,2
GDAX.BTC-USD,1,20230301,020900,23170.0000000,23172.6000000,23161.4000000,23165.0100000,8
GDAX.BTC-USD,1,20230301,021000,23165.5700000,23166.8600000,23153.9000000,23158.0100000,6
GDAX.BTC-USD,1,20230301,021100,23158.0100000,23168.9600000,23157.0100000,23157.9600000,23
GDAX.BTC-USD,1,20230301,021200,23157.4800000,23157.4800000,23149.9300000,23152.2200000,3
GDAX.BTC-USD,1,20230301,021300,23152.6600000,23164.2000000,23143.9600000,23162.0000000,9
GDAX.BTC-USD,1,20230301,021400,23162.0100000,23170.9000000,23160.3100000,23166.2500000,3
