<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.ETH-USD,1,20230301,004400,1600.6100000,1601.3000000,1599.3900000,1601.3000000,196
GDAX.ETH-USD,1,20230301,004500,1601.3100000,1604.0000000,1601.3100000,1603.8600000,187
GDAX.ETH-USD,1,20230301,004600,1603.8700000,1603.8700000,1598.9900000,1598.9900000,268
GDAX.ETH-USD,1,20230301,004700,1598.7400000,1602.1500000,1598.7400000,1602.0100000,67
GDAX.ETH-USD,1,20230301,004800,1602.0100000,1602.6900000,1598.8400000,1601.8300000,494
GDAX.ETH-USD,1,20230301,004900,1601.9700000,1602.6600000,1601.3700000,1602.5900000,117
GDAX.ETH-USD,1,20230301,005000,1602.5800000,1602.9100000,1601.1400000,1602.7300000,193
GDAX.ETH-USD,1,20230301,005100,1602.6600000,1602.7200000,1600.4100000,1601.0600000,155
GDAX.ETH-USD,1,20230301,005200,1601.0600000,1602.3400000,1600.1700000,1600.3700000,165
GDAX.ETH-USD,1,20230301,005300,1600.4800000,1602.9500000,1600.4800000,1602.9500000,109
GDAX.ETH-USD,1,20230301,005400,1602.9600000,1605.2300000,1602.7800000,1604.4700000,199
GDAX.ETH-USD,1,20230301,005500,1604.4700000,1606.0100000,1604.4600000,1605.6600000,176
GDAX.ETH-USD,1,20230301,005600,1605.6200000,1605.7800000,1604.1100000,1605.4900000,348
GDAX.ETH-USD,1,20230301,005700,1605.4900000,1605.7100000,1604.6000000,1604.6500000,116
GDAX.ETH-USD,1,20230301,005800,1604.7800000,1606.2900000,1604.7800000,1605.6600000,103
GDAX.ETH-USD,1,20230301,005900,1605.6000000,1606.0200000,1605.5000000,1605.8300000,75
GDAX.ETH-USD,1,20230301,010000,1605.8200000,1605.8700000,1605.1700000,1605.6800000,118
GDAX.ETH-USD,1,20230301,010100,1605.6900000,1605.6900000,1599.3900000,1599.5100000,325
GDAX.ETH-USD,1,20230301,010200,1599.5000000,1601.9300000,1597.9000000,1600.6400000,448
GDAX.ETH-USD,1,20230301,010300,1600.7900000,1604.4000000,1600.7900000,1604.0400000,214
GDAX.ETH-USD,1,20230301,010400,1603.8800000,1605.4400000,1603.8800000,1604.0100000,266
GDAX.ETH-USD,1,20230301,010500,1604.0200000,1605.0100000,1603.8700000,1604.7100000,59
GDAX.ETH-USD,1,20230301,010600,1604.7100000,1605.3300000,1603.8000000,1604.5100000,203
GDAX.ETH-USD,1,20230301,010700,1604.4100000,1605.4100000,1604.2900000,1605.2200000,55
GDAX.ETH-USD,1,20230301,010800,1605.2200000,1605.2200000,1603.8900000,1604.4000000,78
GDAX.ETH-USD,1,20230301,010900,1604.3800000,1606.5100000,1604.3800000,1605.8000000,142
GDAX.ETH-USD,1,20230301,011000,1605.9500000,1605.9700000,1605.1700000,1605.7900000,103
GDAX.ETH-USD,1,20230301,011100,1605.6500000,1607.2900000,1605.5500000,1607.1400000,105
GDAX.ETH-USD,1,20230301,011200,1607.1300000,1609.0800000,1606.9700000,1608.9300000,190
GDAX.ETH-USD,1,20230301,011300,1608.9300000,1609.5800000,1608.6300000,1609.4900000,107
GDAX.ETH-USD,1,20230301,011400,1609.4400000,1609.9500000,1608.7000000,1609.5200000,110
GDAX.ETH-USD,1,20230301,011500,1609.5100000,1611.3500000,1609.5100000,1611.3100000,114
GDAX.ETH-USD,1,20230301,011600,1611.3000000,1611.3100000,1609.3200000,1609.3200000,505
GDAX.ETH-USD,1,20230301,011700,1609.3100000,1611.0200000,1609.0900000,1609.9500000,141
GDAX.ETH-USD,1,20230301,011800,1609.9400000,1609.9400000,1608.7600000,1609.6500000,172
GDAX.ETH-USD,1,20230301,011900,1609.4700000,1609.9300000,1609.3400000,1609.8200000,86
GDAX.ETH-USD,1,20230301,012000,1609.8600000,1611.4900000,1609.8300000,1611.3000000,103
GDAX.ETH-USD,1,20230301,012100,1611.2700000,1611.3300000,1610.2600000,1611.3300000,186
GDAX.ETH-USD,1,20230301,012200,1611.3400000,1612.1500000,1611.0800000,1611.8400000,193
GDAX.ETH-USD,1,20230301,012300,1611.9800000,1612.7000000,1611.4200000,1611.4300000,134
GDAX.ETH-USD,1,20230301,012400,1611.4100000,1611.4200000,1609.2700000,1609.2700000,74
GDAX.ETH-USD,1,20230301,012500,1609.2200000,1609.5200000,1608.5000000,1608.8700000,77
GDAX.ETH-USD,1,20230301,012600,1608.8700000,1610.0100000,1608.4900000,1609.4700000,93
GDAX.ETH-USD,1,20230301,012700,1609.4500000,1609.4500000,1608.6400000,1608.9300000,45
GDAX.ETH-USD,1,20230301,012800,1608.9300000,1609.5500000,1608.7700000,1609.4900000,50
GDAX.ETH-USD,1,20230301,012900,1609.5000000,1610.3900000,1609.4700000,1609.4700000,82
GDAX.ETH-USD,1,20230301,013000,1609.4600000,1609.7600000,1609.3900000,1609.5700000,39
GDAX.ETH-USD,1,20230301,013100,1609.5800000,1611.7200000,1609.3000000,1611.7200000,119
GDAX.ETH-USD,1,20230301,013200,1611.5900000,1612.0800000,1611.1900000,1612.0700000,36
GDAX.ETH-USD,1,20230301,013300,1612.0600000,1612.2100000,1611.5700000,1611.6000000,171
GDAX.ETH-USD,1,20230301,013400,1611.6100000,1611.6100000,1610.0100000,1610.3200000,106
GDAX.ETH-USD,1,20230301,013500,1610.2500000,1612.7100000,1610.2200000,1612.7100000,61
GDAX.ETH-USD,1,20230301,013600,1612.8000000,1613.0600000,1611.9200000,1612.2600000,82
GDAX.ETH-USD,1,20230301,013700,1612.2600000,1612.4100000,1611.7000000,1611.7100000,63
GDAX.ETH-USD,1,20230301,013800,1611.7000000,1612.5600000,1611.6400000,1612.5400000,62
GDAX.ETH-USD,1,20230301,013900,1612.5400000,1613.8000000,1612.2500000,1613.3100000,195
GDAX.ETH-USD,1,20230301,014000,1613.3800000,1613.4300000,1611.6800000,1612.3000000,118
GDAX.ETH-USD,1,20230301,014100,1612.2700000,1612.2700000,1611.5900000,1611.6000000,14
GDAX.ETH-USD,1,20230301,014200,1611.6000000,1611.6300000,1610.1400000,1610.6700000,79
GDAX.ETH-USD,1,20230301,014300,1610.5300000,1611.5100000,1610.3500000,1611.5100000,60
GDAX.ETH-USD,1,20230301,014400,1611.5100000,1612.5700000,1611.5100000,1612.5700000,29
GDAX.ETH-USD,1,20230301,014500,1612.5700000,1613.8900000,1612.4300000,1613.7300000,88
GDAX.ETH-USD,1,20230301,014600,1613.7300000,1613.9600000,1612.6500000,1613.1900000,36
GDAX.ETH-USD,1,20230301,014700,1613.2000000,1613.9200000,1613.1700000,1613.5800000,13
GDAX.ETH-USD,1,20230301,014800,1613.5700000,1613.6400000,1613.4400000,1613.5300000,12
GDAX.ETH-USD,1,20230301,014900,1613.5300000,1613.5400000,1612.8900000,1613.0200000,41
GDAX.ETH-USD,1,20230301,015000,1612.9600000,1613.6100000,1612.8100000,1613.5800000,36
GDAX.ETH-USD,1,20230301,015100,1613.5700000,1613.8400000,1612.6100000,1612.9200000,141
GDAX.ETH-USD,1,20230301,015200,1612.8200000,1612.8200000,1611.1700000,1611.3300000,68
GDAX.ETH-USD,1,20230301,015300,1611.3000000,1611.3800000,1609.9800000,1610.5200000,95
GDAX.ETH-USD,1,20230301,015400,1610.5100000,1611.6200000,1610.3800000,1610.6200000,67
GDAX.ETH-USD,1,20230301,015500,1610.6200000,1611.2200000,1610.1800000,1611.2200000,65
GDAX.ETH-USD,1,20230301,015600,1611.2300000,1611.5300000,1611.2200000,1611.4100000,35
GDAX.ETH-USD,1,20230301,015700,1611.4200000,1611.7600000,1611.1400000,1611.7600000,40
GDAX.ETH-USD,1,20230301,015800,1611.7600000,1612.8700000,1611.7600000,1612.1900000,40
GDAX.ETH-USD,1,20230301,015900,1612.1800000,1612.8400000,1611.9700000,1612.5400000,36
GDAX.ETH-USD,1,20230301,020000,1612.5400000,1613.4000000,1612.5200000,1612.8600000,48
GDAX.ETH-USD,1,20230301,020100,1612.8500000,1612.8500000,1609.0000000,1609.7500000,115
GDAX.ETH-USD,1,20230301,020200,1609.8000000,1609.8000000,1608.7200000,1609.0000000,48
GDAX.ETH-USD,1,20230301,020300,1609.0000000,1609.9100000,1607.5800000,1609.3800000,285
GDAX.ETH-USD,1,20230301,020400,1609.3600000,1609.9200000,1609.2300000,1609.8000000,42
GDAX.ETH-USD,1,20230301,020500,1609.8000000,1610.1000000,1608.5900000,1608.8600000,208
GDAX.ETH-USD,1,20230301,020600,1608.9200000,1609.1200000,1607.1200000,1607.2300000,178
GDAX.ETH-USD,1,20230301,020700,1607.2100000,1608.7700000,1607.1200000,1608.4900000,55
GDAX.ETH-USD,1,20230301,020800,1608.4800000,1610.0000000,1608.2200000,1610.0000000,99
GDAX.ETH-USD,1,20230301,020900,1609.9600000,1610.3500000,1609.1300000,1609.3700000,130
GDAX.ETH-USD,1,20230301,021000,1609.3700000,1609.5600000,1606.8700000,1607.7700000,223
GDAX.ETH-USD,1,20230301,021100,1607.8400000,1608.7300000,1607.0200000,1607.0200000,107
GDAX.ETH-USD,1,20230301,021200,1607.1800000,1607.1800000,1606.5000000,1606.9000000,80
GDAX.ETH-USD,1,20230301,021300,1606.9000000,1608.2700000,1606.6100000,1608.1400000,54
GDAX.ETH-USD,1,20230301,021400,1608.1400000,1608.8700000,1608.1300000,1608.8700000,30
GDAX.ETH-USD,1,20230301,021500,1608.8700000,1609.7100000,1608.6000000,1608.8700000,114
GDAX.ETH-USD,1,20230301,021600,1608.8100000,1608.9800000,1607.5200000,1608.6600000,98
GDAX.ETH-USD,1,20230301,021700,1608.6800000,1610.9000000,1608.6800000,1610.1400000,248
GDAX.ETH-USD,1,20230301,021800,1610.1400000,1610.9000000,1610.1400000,1610.4800000,131
GDAX.ETH-USD,1,20230301,021900,1610.4800000,1611.4000000,1610.4200000,1611.3900000,60
GDAX.ETH-USD,1,20230301,022000,1611.3900000,1611.6600000,1610.3900000,1610.6400000,83
GDAX.ETH-USD,1,20230301,022100,1610.4300000,1610.9400000,1610.2800000,1610.5500000,85
GDAX.ETH-USD,1,20230301,022200,1610.5400000,1610.9900000,1610.3000000,1610.9700000,31
GDAX.ETH-USD,1,20230301,022300,1610.9800000,1611.2900000,1610.8100000,1610.9400000,35
GDAX.ETH-USD,1,20230301,022400,1611.1000000,1611.5000000,1610.5500000,1611.5000000,142
GDAX.ETH-USD,1,20230301,022500,1611.3900000,1611.3900000,1610.3800000,1610.3900000,52
GDAX.ETH-USD,1,20230301,022600,1610.5200000,1610.5700000,1609.0000000,1609.4900000,51
GDAX.ETH-USD,1,20230301,022700,1609.4900000,1609.7500000,1608.9400000,1609.6700000,60
GDAX.ETH-USD,1,20230301,022800,1609.5500000,1609.6100000,1609.2600000,1609.3800000,18
GDAX.ETH-USD,1,20230301,022900,1609.3800000,1609.7400000,1607.2000000,1607.2000000,62
GDAX.ETH-USD,1,20230301,023000,1607.2000000,1607.4500000,1606.2700000,1607.0900000,65
GDAX.ETH-USD,1,20230301,023100,1607.1300000,1608.0400000,1606.6100000,1606.8500000,89
GDAX.ETH-USD,1,20230301,023200,1606.8500000,1606.9000000,1606.1900000,1606.3500000,25
GDAX.ETH-USD,1,20230301,023300,1606.3000000,1606.8100000,1605.9900000,1606.3500000,66
GDAX.ETH-USD,1,20230301,023400,1606.3200000,1606.9700000,1605.5500000,1606.5000000,150
GDAX.ETH-USD,1,20230301,023500,1606.5000000,1606.7100000,1605.2300000,1605.5800000,79
GDAX.ETH-USD,1,20230301,023600,1605.5800000,1606.0900000,1605.5800000,1605.7100000,27
GDAX.ETH-USD,1,20230301,023700,1605.7100000,1608.1200000,1605.7100000,1608.1200000,107
GDAX.ETH-USD,1,20230301,023800,1608.1100000,1609.8500000,1608.1100000,1609.7600000,59
GDAX.ETH-USD,1,20230301,023900,1609.7400000,1609.8200000,1609.1200000,1609.8200000,83
GDAX.ETH-USD,1,20230301,024000,1609.7600000,1609.7600000,1608.5800000,1608.5900000,33
GDAX.ETH-USD,1,20230301,024100,1608.5900000,1608.5900000,1607.2000000,1607.9000000,55
GDAX.ETH-USD,1,20230301,024200,1607.8500000,1608.2800000,1607.5200000,1607.7100000,75
GDAX.ETH-USD,1,20230301,024300,1607.7100000,1607.8300000,1606.5200000,1606.6400000,44
GDAX.ETH-USD,1,20230301,024400,1606.6400000,1607.3600000,1606.0400000,1606.7100000,83
GDAX.ETH-USD,1,20230301,024500,1606.6800000,1607.4000000,1606.5800000,1606.9800000,40
GDAX.ETH-USD,1,20230301,024600,1606.9800000,1607.1000000,1606.6900000,1606.8100000,36
GDAX.ETH-USD,1,20230301,024700,1606.8200000,1608.1200000,1606.7800000,1608.0800000,84
GDAX.ETH-USD,1,20230301,024800,1608.0700000,1608.2500000,1605.9600000,1606.1600000,184
GDAX.ETH-USD,1,20230301,024900,1606.1100000,1606.7000000,1603.3400000,1603.6400000,237
GDAX.ETH-USD,1,20230301,025000,1603.6000000,1605.0000000,1603.5900000,1604.9900000,62
GDAX.ETH-USD,1,20230301,025100,1604.9800000,1605.8400000,1604.6500000,1605.7400000,97
GDAX.ETH-USD,1,20230301,025200,1605.8300000,1606.0500000,1605.5600000,1605.7600000,69
GDAX.ETH-USD,1,20230301,025300,1605.7700000,1605.9700000,1604.2700000,1604.6300000,111
GDAX.ETH-USD,1,20230301,025400,1604.6300000,1605.1400000,1604.2000000,1604.3000000,55
GDAX.ETH-USD,1,20230301,025500,1604.3000000,1604.4300000,1603.2600000,1603.6100000,148
GDAX.ETH-USD,1,20230301,025600,1603.6000000,1603.8100000,1603.0500000,1603.7300000,58
GDAX.ETH-USD,1,20230301,025700,1603.6500000,1603.9700000,1603.3800000,1603.6800000,11
GDAX.ETH-USD,1,20230301,025800,1603.6900000,1604.8300000,1603.4300000,1603.4400000,98
GDAX.ETH-USD,1,20230301,025900,1603.4400000,1604.1300000,1603.4400000,1603.8700000,29
GDAX.ETH-USD,1,20230301,030000,1603.7300000,1605.4200000,1603.7300000,1605.4000000,68
GDAX.ETH-USD,1,20230301,030100,1605.5900000,1606.1200000,1604.6700000,1605.7900000,171
GDAX.ETH-USD,1,20230301,030200,1605.7900000,1606.0500000,1604.9700000,1604.9800000,125
GDAX.ETH-USD,1,20230301,030300,1604.9200000,1605.4300000,1604.4800000,1605.1000000,122
GDAX.ETH-USD,1,20230301,030400,1605.0900000,1605.4700000,1604.8600000,1605.1200000,38
GDAX.ETH-USD,1,20230301,030500,1605.1200000,1605.3700000,1605.0800000,1605.3200000,15
GDAX.ETH-USD,1,20230301,030600,1605.3100000,1605.4400000,1604.7900000,1605.1400000,33
GDAX.ETH-USD,1,20230301,030700,1605.1500000,1605.3500000,1604.7400000,1604.8300000,69
GDAX.ETH-USD,1,20230301,030800,1604.8300000,1604.8300000,1602.6000000,1602.6000000,65
GDAX.ETH-USD,1,20230301,030900,1602.6200000,1603.7700000,1602.2600000,1602.6100000,98
GDAX.ETH-USD,1,20230301,031000,1602.6100000,1602.6100000,1600.0700000,1600.4600000,232
GDAX.ETH-USD,1,20230301,031100,1600.4600000,1601.5600000,1600.2000000,1600.7800000,175
GDAX.ETH-USD,1,20230301,031200,1600.8100000,1601.6900000,1599.9800000,1601.6900000,123
GDAX.ETH-USD,1,20230301,031300,1601.8000000,1605.3100000,1601.7900000,1604.5800000,386
GDAX.ETH-USD,1,20230301,031400,1604.6900000,1605.6400000,1604.3000000,1605.4800000,134
GDAX.ETH-USD,1,20230301,031500,1605.4400000,1605.4800000,1604.6400000,1605.1700000,55
GDAX.ETH-USD,1,20230301,031600,1605.1600000,1606.3300000,1605.1600000,1605.8300000,86
GDAX.ETH-USD,1,20230301,031700,1605.8200000,1606.2800000,1605.0700000,1605.8900000,95
GDAX.ETH-USD,1,20230301,031800,1605.9500000,1606.9700000,1605.9500000,1606.7100000,128
GDAX.ETH-USD,1,20230301,031900,1606.7000000,1606.7000000,1605.9300000,1606.5000000,42
GDAX.ETH-USD,1,20230301,032000,1606.4000000,1607.0400000,1606.2600000,1607.0000000,32
GDAX.ETH-USD,1,20230301,032100,1606.9800000,1607.0700000,1606.2100000,1606.9900000,42
